iter	Passed	Remaining
0	760	379445
1	1465	364899
2	2134	353586
3	2689	333487
4	3237	320521
5	3794	312374
6	4339	305644
7	4921	302652
8	5580	304470
9	6296	308542
10	7022	312188
11	7712	313658
12	8340	312460
13	8903	309094
14	9464	306029
15	10003	302605
16	10530	299187
17	11013	294912
18	11581	293187
19	12213	293122
20	12802	292016
21	13401	291188
22	14024	290852
23	14609	289751
24	15211	289014
25	15779	287676
26	16298	285529
27	16844	283942
28	17348	281758
29	17928	280882
30	18494	279808
31	19108	279466
32	19711	278945
33	20217	277094
34	20762	275849
35	21269	274142
36	21800	272798
37	22303	271167
38	22849	270088
39	23389	268981
40	23913	267713
41	24406	266142
42	24916	264808
43	25416	263411
44	25914	262021
45	26389	260453
46	26872	259006
47	27440	258400
48	28048	258160
49	28631	257686
50	29112	256302
51	29609	255101
52	30119	254024
53	30622	252918
54	31137	251929
55	31640	250862
56	32134	249746
57	32635	248706
58	33131	247645
59	33626	246597
60	34123	245578
61	34610	244507
62	35104	243502
63	35606	242565
64	36107	241645
65	36600	240674
66	37103	239789
67	37588	238797
68	38100	237987
69	38596	237091
70	39083	236150
71	39562	235174
72	40060	234324
73	40552	233449
74	41039	232558
75	41539	231747
76	42023	230857
77	42515	230019
78	42995	229129
79	43495	228349
80	43982	227514
81	44521	226949
82	45002	226096
83	45497	225322
84	46003	224603
85	46497	223834
86	46986	223052
87	47497	222374
88	48011	221715
89	48588	221348
90	49142	220873
91	49710	220456
92	50205	219718
93	50694	218958
94	51200	218276
95	51694	217549
96	52196	216857
97	52695	216160
98	53178	215400
99	53695	214780
100	54228	214228
101	54733	213567
102	55241	212920
103	55760	212317
104	56263	211656
105	56749	210937
106	57236	210222
107	57714	209481
108	58203	208786
109	58697	208108
110	59196	207455
111	59679	206746
112	60179	206102
113	60664	205407
114	61151	204724
115	61659	204112
116	62147	203440
117	62646	202804
118	63155	202202
119	63645	201544
120	64168	200991
121	64654	200322
122	65135	199642
123	65648	199063
124	66150	198451
125	66693	197962
126	67165	197264
127	67651	196613
128	68149	195996
129	68679	195471
130	69174	194850
131	69669	194231
132	70171	193631
133	70656	192986
134	71167	192416
135	71669	191821
136	72182	191258
137	72685	190667
138	73183	190066
139	73694	189499
140	74180	188870
141	74671	188256
142	75152	187619
143	75727	187214
144	76236	186648
145	76751	186097
146	77305	185637
147	77810	185063
148	78293	184436
149	78832	183943
150	79345	183388
151	79844	182800
152	80357	182248
153	80864	181683
154	81379	181133
155	81875	180546
156	82357	179927
157	82853	179342
158	83365	178789
159	83849	178179
160	84356	177620
161	84851	177035
162	85359	176478
163	85859	175907
164	86380	175377
165	86881	174809
166	87380	174238
167	87883	173674
168	88378	173095
169	88876	172525
170	89388	171981
171	89873	171386
172	90360	170797
173	90868	170246
174	91368	169685
175	91857	169101
176	92379	168579
177	92867	167996
178	93362	167427
179	93868	166877
180	94361	166304
181	94864	165751
182	95413	165279
183	95923	164738
184	96434	164199
185	96948	163666
186	97436	163089
187	97939	162537
188	98448	161996
189	98948	161443
190	99458	160904
191	99945	160328
192	100454	159790
193	100984	159285
194	101539	158818
195	102072	158317
196	102582	157778
197	103101	157255
198	103604	156709
199	104084	156126
200	104593	155588
201	105097	155044
202	105641	154558
203	106134	153998
204	106628	153440
205	107192	152984
206	107681	152418
207	108155	151833
208	108649	151277
209	109135	150711
210	109652	150187
211	110133	149615
212	110625	149058
213	111118	148503
214	111612	147951
215	112085	147371
216	112573	146812
217	113057	146249
218	113541	145685
219	114057	145163
220	114560	144626
221	115046	144067
222	115534	143511
223	116016	142949
224	116499	142387
225	116998	141847
226	117482	141289
227	117960	140725
228	118463	140190
229	118933	139617
230	119431	139078
231	119926	138535
232	120408	137979
233	120896	137429
234	121387	136883
235	121869	136328
236	122362	135786
237	122849	135237
238	123327	134679
239	123827	134146
240	124335	133622
241	124859	133114
242	125406	132631
243	125897	132088
244	126397	131556
245	126892	131019
246	127376	130470
247	127861	129923
248	128360	129391
249	128847	128847
250	129346	128315
251	129860	127798
252	130348	127257
253	130832	126712
254	131319	126170
255	131796	125618
256	132291	125085
257	132818	124581
258	133338	124071
259	133841	123545
260	134343	123019
261	134840	122488
262	135347	121967
263	135847	121439
264	136461	121012
265	137166	120664
266	137853	120298
267	138453	119855
268	139070	119424
269	139689	118995
270	140385	118628
271	140911	118116
272	141475	117637
273	141986	117113
274	142490	116583
275	143049	116098
276	143599	115605
277	144218	115167
278	144741	114652
279	145383	114229
280	146144	113898
281	146754	113448
282	147345	112981
283	147898	112485
284	148425	111969
285	148975	111471
286	149568	111003
287	150157	110532
288	150689	110019
